county,factor,value,scope,node_windows,MAE,delta_vs_STID_MAE,RMSE,bias,MAE@h3,MAE@h6,MAE@h12
Alameda,impact_abs,high,future_any,1674,22.5437488203366,-0.17018517029131885,33.87482788541711,-3.530999544867627,20.575251441087552,22.580150547107586,24.48039263923343
Alameda,impact_abs,high,history_any,1674,22.925111581286117,-0.12998161980553036,32.93366242527517,-3.7495070473687964,21.681735252611563,23.731768553017844,24.15491729596766
Alameda,impact_abs,high,ongoing,177,23.586340993727553,-0.053531841983161854,33.81485778719022,-3.1884367305520587,20.418275529688056,23.66028829054399,24.4941852242606
Alameda,impact_abs,high,post_last_slot,272,22.87556292546874,-0.33479029952076544,32.82408389920391,-3.5713951165200464,21.27229399504485,23.42409081441319,23.226726361175082
Alameda,impact_abs,low,future_any,3350,5.546090877921644,-0.030539152693500604,11.068191903595627,-0.8049484051217,5.265006989226087,5.589351265329317,6.124915730377242
Alameda,impact_abs,low,history_any,3352,5.358164364012979,-0.0007638294769698462,10.6983578923472,-0.5190622099085297,4.970522370879564,5.324661067305196,5.9133295366240715
Alameda,impact_abs,low,ongoing,354,5.783384462087572,-0.0296130121439937,12.303469789893555,-0.3331907944421236,4.593874447309791,5.9908344191734235,6.869120293056842
Alameda,impact_abs,low,post_last_slot,544,6.098303745170394,-0.07311020203248297,11.891662745859836,-0.7090961326339201,5.428382124219622,5.939156155911681,6.884625802557152
Alameda,impact_abs,mid,future_any,1673,10.864961244889855,-0.06653343406058099,17.184200105627113,-1.3608230969503359,10.297077313968359,10.921487749874341,11.859624324936465
Alameda,impact_abs,mid,history_any,1671,10.289346294700051,-0.18134328170615532,16.809935034753018,-1.5599476552261053,9.938305924802338,10.157762082532775,11.139093868974326
Alameda,impact_abs,mid,ongoing,177,10.969144202178379,-0.2442348516212327,17.829397275849924,-0.7482246578864331,11.22151313393803,10.07810788774221,11.668843776157924
Alameda,impact_abs,mid,post_last_slot,271,10.65326542833743,-0.10358803138568362,17.455723721701712,-0.8375894002391465,10.979985845924743,10.31090799029023,10.834165012969404
ContraCosta,impact_abs,high,future_any,1028,27.896383368396883,0.2420607083193218,42.74399359745109,1.4035444451367964,26.1371851152947,28.052651691065687,30.81276593783486
ContraCosta,impact_abs,high,history_any,1030,26.720278591785615,0.4470444836662786,40.09842483060498,-0.03816399497121669,24.696805602138483,27.16765007093115,29.27210367443492
ContraCosta,impact_abs,high,ongoing,111,28.770197745200033,0.8229224746291699,42.41328481808492,3.070358390922661,28.043169726122606,29.746462779002147,30.347937506598395
ContraCosta,impact_abs,high,post_last_slot,166,28.91949914066667,0.7475279804214416,44.15373880941434,-0.43010237513775806,28.62184588880424,28.811478028814477,30.412507666162696
ContraCosta,impact_abs,low,future_any,2058,6.342465087530433,0.0009886232900040426,11.482199676216334,0.07433751170172402,5.9963860729855485,6.394682500404681,7.151838952197796
ContraCosta,impact_abs,low,history_any,2060,6.770622969066532,0.16155175429624258,12.824164258200886,-1.276171617782642,6.279022910142124,6.9087312189045,7.377458952811583
ContraCosta,impact_abs,low,ongoing,223,6.2123543072194565,0.04571321872478418,11.341574766145685,-1.2027048997476066,5.528779896822843,6.718184010366375,6.2781015169822565
ContraCosta,impact_abs,low,post_last_slot,332,6.479797868922862,0.05488939848199692,11.355004607521463,-1.0218935128035198,5.801377169291178,6.6306409953553,6.461039781570435
ContraCosta,impact_abs,mid,future_any,1030,12.094551543249842,0.08023124327634079,18.691223912158257,0.07384590985921421,11.22242894525194,12.40024523976248,12.981798121950021
ContraCosta,impact_abs,mid,history_any,1029,12.50700417915523,0.1605435096105925,19.48718380734481,-2.6305210222004587,11.715128180352778,12.300387898733364,14.165003429001343
ContraCosta,impact_abs,mid,ongoing,111,11.099702857994103,-0.04682753966735298,15.80273520184952,-0.9791379562011352,11.239696777618683,12.69729421804617,12.650503313219225
ContraCosta,impact_abs,mid,post_last_slot,166,11.484582738061647,0.06713220414204812,16.753429138447267,-2.0734195690059183,11.744746541402426,11.387313038469797,12.379983580256082
LosAngeles,impact_abs,high,future_any,8673,22.301753636251593,0.009782957643459156,33.64475947354178,-1.3151487398596748,20.32824693678257,22.5327427593292,24.971726566837344
LosAngeles,impact_abs,high,history_any,8662,23.360271853591733,0.12959512129356554,38.221505253394476,-1.4132861898503872,21.244676860667646,23.380269607444518,26.316433477102116
LosAngeles,impact_abs,high,ongoing,889,23.236409080824025,0.0689516987757095,39.48336035271816,-2.940958269387555,19.700792114855506,23.575641153045513,27.869609511201432
LosAngeles,impact_abs,high,post_last_slot,1401,22.98429947668211,0.08835480812643937,37.96367230952942,-2.056504005205151,20.620821773361282,22.883020534008033,26.852500156985236
LosAngeles,impact_abs,low,future_any,17347,5.134167235956243,-0.02201920194836493,10.652887813657813,0.036271433601466556,4.661821558512288,5.082846499926424,5.989112840039608
LosAngeles,impact_abs,low,history_any,17330,5.117857048105889,-0.011271771260002339,10.483853045900434,-0.1232665193528306,4.661603813772016,5.113677901733063,5.883067361377966
LosAngeles,impact_abs,low,ongoing,1784,5.279375414407486,-0.043919356439739765,11.122106528997124,-0.09808769287843548,4.789459729613693,5.272094630572914,5.977301134992001
LosAngeles,impact_abs,low,post_last_slot,2805,5.111885197407157,-0.04404755385975978,10.703230275261063,-0.12727306801833732,4.633145515001318,5.0556215499396995,5.841368642008557
LosAngeles,impact_abs,mid,future_any,8674,10.395532707724731,-0.03268221471390831,16.432789076575943,-0.6929224165849663,9.84080922417386,10.337201539472614,11.301195214439788
