node_windows,valid_values,MAE,RMSE,bias,MAE@h3,MAE@h6,MAE@h12,county,model,factor,value,scope,result_dir,STID_MAE,STID_RMSE,STID_bias,STID_MAE@h3,STID_MAE@h6,STID_MAE@h12,delta_vs_STID_MAE,delta_vs_STID_RMSE,delta_vs_STID_bias,delta_vs_STID_MAE@h3,delta_vs_STID_MAE@h6,delta_vs_STID_MAE@h12
2200,21283,11.478580008658543,23.163243406684813,-1.0692613231829389,10.198222552142347,11.88975096743993,13.201519249255178,LosAngeles,STID,incident_type,UnknInj,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.478580008658543,23.163243406684813,-1.0692613231829389,10.198222552142347,11.88975096743993,13.201519249255178,0.0,0.0,0.0,0.0,0.0,0.0
1280,12523,11.227061224071342,22.320248113325064,-1.0663450232407332,9.485884876946798,11.845650560013713,12.961473591632862,LosAngeles,STID,incident_type,UnknInj,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,11.227061224071342,22.320248113325064,-1.0663450232407332,9.485884876946798,11.845650560013713,12.961473591632862,0.0,0.0,0.0,0.0,0.0,0.0
5550,49263,10.063983998543437,19.100418153428972,-0.485405803401885,9.059749232488485,9.898865138796827,11.70437771906862,LosAngeles,STID,pm_relation,at_source,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,10.063983998543437,19.100418153428972,-0.485405803401885,9.059749232488485,9.898865138796827,11.70437771906862,0.0,0.0,0.0,0.0,0.0,0.0
5558,49404,10.863584838872129,23.649200728019313,0.05547201105500318,9.903809865624762,10.870449307012349,12.225478998202721,LosAngeles,STID,pm_relation,at_source,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,10.863584838872129,23.649200728019313,0.05547201105500318,9.903809865624762,10.870449307012349,12.225478998202721,0.0,0.0,0.0,0.0,0.0,0.0
920,8178,10.406199253517947,20.792270190280963,-0.184188079647401,9.208314585650822,10.464317321777344,12.31573995702407,LosAngeles,STID,pm_relation,at_source,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,10.406199253517947,20.792270190280963,-0.184188079647401,9.208314585650822,10.464317321777344,12.31573995702407,0.0,0.0,0.0,0.0,0.0,0.0
570,5036,10.747846274644823,21.88879363491453,-0.7423699267616908,8.748790505379793,10.63961795616603,13.388503617647162,LosAngeles,STID,pm_relation,at_source,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,10.747846274644823,21.88879363491453,-0.7423699267616908,8.748790505379793,10.63961795616603,13.388503617647162,0.0,0.0,0.0,0.0,0.0,0.0
13876,134948,12.026638646228548,22.123355707598282,-0.9607846517054327,11.02301208726876,12.135864229324362,13.533337769270643,LosAngeles,STID,pm_relation,downstream,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.026638646228548,22.123355707598282,-0.9607846517054327,11.02301208726876,12.135864229324362,13.533337769270643,0.0,0.0,0.0,0.0,0.0,0.0
13858,134818,12.327106965392986,25.29608359834162,-0.9531811214748591,11.213203288953563,12.401556600206526,14.039617201701303,LosAngeles,STID,pm_relation,downstream,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.327106965392986,25.29608359834162,-0.9531811214748591,11.213203288953563,12.401556600206526,14.039617201701303,0.0,0.0,0.0,0.0,0.0,0.0
2220,21456,12.348739399294814,26.38047136022365,-1.2432497214417597,11.519626113079509,12.593389056672986,14.365647977613962,LosAngeles,STID,pm_relation,downstream,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.348739399294814,26.38047136022365,-1.2432497214417597,11.519626113079509,12.593389056672986,14.365647977613962,0.0,0.0,0.0,0.0,0.0,0.0
1352,12598,12.63748200739503,28.662578748573825,-2.1680415126705457,11.06686281476702,13.415274836344011,14.974636275003972,LosAngeles,STID,pm_relation,downstream,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.63748200739503,28.662578748573825,-2.1680415126705457,11.06686281476702,13.415274836344011,14.974636275003972,0.0,0.0,0.0,0.0,0.0,0.0
15593,155813,12.59973198745376,22.148579214050724,-0.6719967681980149,11.696968659710418,12.596913384407308,13.946102619207915,LosAngeles,STID,pm_relation,upstream,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.59973198745376,22.148579214050724,-0.6719967681980149,11.696968659710418,12.596913384407308,13.946102619207915,0.0,0.0,0.0,0.0,0.0,0.0
15566,155433,12.610658255197276,22.092025701921578,-0.7753072752158047,11.767688187073258,12.607357090830794,13.830978059025114,LosAngeles,STID,pm_relation,upstream,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.610658255197276,22.092025701921578,-0.7753072752158047,11.767688187073258,12.607357090830794,13.830978059025114,0.0,0.0,0.0,0.0,0.0,0.0
2492,24920,12.588848210146493,22.02514511086367,-1.0624194670259284,11.520701999544695,12.225066462137613,14.012379611897433,LosAngeles,STID,pm_relation,upstream,post_last_slot,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.588848210146493,22.02514511086367,-1.0624194670259284,11.520701999544695,12.225066462137613,14.012379611897433,0.0,0.0,0.0,0.0,0.0,0.0
1545,15644,12.961701842044448,22.420655136041102,-0.8506811064425346,11.693563696616454,12.708939536913462,14.586030858612649,LosAngeles,STID,pm_relation,upstream,ongoing,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,12.961701842044448,22.420655136041102,-0.8506811064425346,11.693563696616454,12.708939536913462,14.586030858612649,0.0,0.0,0.0,0.0,0.0,0.0
17347,131300,5.156186437904608,10.735679610153028,-0.15975298385445796,4.691821338248443,5.086940193350457,6.037993922547342,LosAngeles,STID,impact_abs,low,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,5.156186437904608,10.735679610153028,-0.15975298385445796,4.691821338248443,5.086940193350457,6.037993922547342,0.0,0.0,0.0,0.0,0.0,0.0
8674,102951,10.42821492243864,16.444009618493162,-0.8302971867630083,9.869946858465434,10.387110139806135,11.396294369116386,LosAngeles,STID,impact_abs,mid,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,10.42821492243864,16.444009618493162,-0.8302971867630083,9.869946858465434,10.387110139806135,11.396294369116386,0.0,0.0,0.0,0.0,0.0,0.0
8673,103188,22.291970678608134,33.61711835648837,-1.466314915793346,20.290467744595034,22.477308318797164,24.988386510443927,LosAngeles,STID,impact_abs,high,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,22.291970678608134,33.61711835648837,-1.466314915793346,20.290467744595034,22.477308318797164,24.988386510443927,0.0,0.0,0.0,0.0,0.0,0.0
12278,142510,13.236452911721724,22.345791551467407,3.607548770766686,12.379762638466485,13.254941524354388,14.643591503816682,LosAngeles,STID,impact_direction,drop,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,13.236452911721724,22.345791551467407,3.607548770766686,12.379762638466485,13.254941524354388,14.643591503816682,0.0,0.0,0.0,0.0,0.0,0.0
12384,144218,13.719114882890237,24.133964622434167,-5.332932548024085,12.563118304247226,13.730665468055067,15.342270842572166,LosAngeles,STID,impact_direction,rise,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,13.719114882890237,24.133964622434167,-5.332932548024085,12.563118304247226,13.730665468055067,15.342270842572166,0.0,0.0,0.0,0.0,0.0,0.0
0,0,,,,,,,LosAngeles,STID,impact_threshold,q50=1.8750;q75=8.2917,future_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,,,,,,,,,,,,
17330,131225,5.129128819365891,10.599501995204685,-0.2331470348949,4.688982788611139,5.119016971570685,5.907747408289867,LosAngeles,STID,impact_abs,low,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,5.129128819365891,10.599501995204685,-0.2331470348949,4.688982788611139,5.119016971570685,5.907747408289867,0.0,0.0,0.0,0.0,0.0,0.0
8664,102687,10.291910578455152,16.098797149595388,-0.8126158335516136,9.786037216694021,10.331889180156672,11.153824201683873,LosAngeles,STID,impact_abs,mid,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,10.291910578455152,16.098797149595388,-0.8126158335516136,9.786037216694021,10.331889180156672,11.153824201683873,0.0,0.0,0.0,0.0,0.0,0.0
8662,103113,23.230676732298168,37.77723995146499,-1.3694319421906311,21.148522888105425,23.29248497145992,26.067780752361777,LosAngeles,STID,impact_abs,high,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,23.230676732298168,37.77723995146499,-1.3694319421906311,21.148522888105425,23.29248497145992,26.067780752361777,0.0,0.0,0.0,0.0,0.0,0.0
11980,138293,13.87192833833498,25.091040941749633,4.295040319208187,12.915658558490652,13.862970660493069,15.313314281944479,LosAngeles,STID,impact_direction,drop,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,13.87192833833498,25.091040941749633,4.295040319208187,12.915658558490652,13.862970660493069,15.313314281944479,0.0,0.0,0.0,0.0,0.0,0.0
12622,147642,13.680269916492206,25.646230230755037,-5.710135044601163,12.605067840466896,13.739100567335695,15.260705471735836,LosAngeles,STID,impact_direction,rise,history_any,BasicTS/checkpoints/STID/TraffiDent_LosAngeles_2023Q1_100_12_12_pure/cea61eeacc9895585b9d57ce73a666f5/test_results,13.680269916492206,25.646230230755037,-5.710135044601163,12.605067840466896,13.739100567335695,15.260705471735836,0.0,0.0,0.0,0.0,0.0,0.0
