county,method,horizon,mae
ContraCosta,type_residual,6,26.047199283892194
ContraCosta,type_residual,7,24.175525753863784
ContraCosta,type_residual,8,24.36360228241257
ContraCosta,type_residual,9,24.2300025178909
ContraCosta,type_residual,10,24.735435884380173
ContraCosta,type_residual,11,24.075684848719824
ContraCosta,type_residual,12,24.991743358337008
ContraCosta,retrieval_residual,1,25.309235159403656
ContraCosta,retrieval_residual,2,25.37874771098568
ContraCosta,retrieval_residual,3,26.627144009152502
ContraCosta,retrieval_residual,4,25.595794805925188
ContraCosta,retrieval_residual,5,26.314184576844514
ContraCosta,retrieval_residual,6,26.84184740443752
ContraCosta,retrieval_residual,7,25.008638716952447
ContraCosta,retrieval_residual,8,25.137073257557336
ContraCosta,retrieval_residual,9,24.579438836541897
ContraCosta,retrieval_residual,10,25.35026051410257
ContraCosta,retrieval_residual,11,25.471259286044393
ContraCosta,retrieval_residual,12,25.995418669720216
ContraCosta,persistence,1,12.211391331398325
ContraCosta,persistence,2,14.53511143645195
ContraCosta,persistence,3,16.499927435835748
ContraCosta,persistence,4,18.179811917919004
ContraCosta,persistence,5,19.78298407776715
ContraCosta,persistence,6,18.824512395466844
ContraCosta,persistence,7,20.203027004085175
ContraCosta,persistence,8,21.633596418981682
ContraCosta,persistence,9,22.58471378300288
ContraCosta,persistence,10,22.763228402072436
ContraCosta,persistence,11,22.5253046610584
ContraCosta,persistence,12,23.98053162979753
