county,method,horizon,mae
Orange,ridge_residual_expert,5,14.425554423030245
Orange,ridge_residual_expert,6,15.425972496859805
Orange,ridge_residual_expert,7,16.386786431073347
Orange,ridge_residual_expert,8,18.415958968170575
Orange,ridge_residual_expert,9,19.101954921673187
Orange,ridge_residual_expert,10,19.709202768319102
Orange,ridge_residual_expert,11,20.760832090188433
Orange,ridge_residual_expert,12,22.192971832863872
Orange,impact_score_gated_ridge_q75,1,9.434275489315128
Orange,impact_score_gated_ridge_q75,2,10.424903781389808
Orange,impact_score_gated_ridge_q75,3,11.919170764574677
Orange,impact_score_gated_ridge_q75,4,12.269200729715298
Orange,impact_score_gated_ridge_q75,5,13.814072183795464
Orange,impact_score_gated_ridge_q75,6,14.511409532484862
Orange,impact_score_gated_ridge_q75,7,15.503387369050865
Orange,impact_score_gated_ridge_q75,8,17.37660248163608
Orange,impact_score_gated_ridge_q75,9,17.637001224884138
Orange,impact_score_gated_ridge_q75,10,18.220463963264905
Orange,impact_score_gated_ridge_q75,11,19.134669246962773
Orange,impact_score_gated_ridge_q75,12,20.35321195884297
Orange,high_impact_train_gated_ridge_q75,1,9.705786949996122
Orange,high_impact_train_gated_ridge_q75,2,10.670892089220356
Orange,high_impact_train_gated_ridge_q75,3,12.145993667523676
Orange,high_impact_train_gated_ridge_q75,4,12.537487605442198
Orange,high_impact_train_gated_ridge_q75,5,14.075418421018643
Orange,high_impact_train_gated_ridge_q75,6,15.097850359196935
Orange,high_impact_train_gated_ridge_q75,7,16.003508687122224
Orange,high_impact_train_gated_ridge_q75,8,18.053888902619015
Orange,high_impact_train_gated_ridge_q75,9,18.22512749784686
Orange,high_impact_train_gated_ridge_q75,10,18.835320528190714
Orange,high_impact_train_gated_ridge_q75,11,19.682882707136454
Orange,high_impact_train_gated_ridge_q75,12,21.089043899339607
Orange,county_specific_ridge_residual_expert,1,10.05413271895688
Orange,county_specific_ridge_residual_expert,2,10.969754634898914
Orange,county_specific_ridge_residual_expert,3,12.531977436883249
Orange,county_specific_ridge_residual_expert,4,13.04029166710197
Orange,county_specific_ridge_residual_expert,5,14.43569776822263
Orange,county_specific_ridge_residual_expert,6,15.74887941732002
Orange,county_specific_ridge_residual_expert,7,16.98678445788624
Orange,county_specific_ridge_residual_expert,8,18.352195932060592
Orange,county_specific_ridge_residual_expert,9,19.07364295500126
Orange,county_specific_ridge_residual_expert,10,19.93438655826858
Orange,county_specific_ridge_residual_expert,11,21.412456757155482
Orange,county_specific_ridge_residual_expert,12,22.46499107914955
Alameda,persistence,1,11.126989515542181
Alameda,persistence,2,12.903810679711878
Alameda,persistence,3,12.928106592159079
Alameda,persistence,4,14.058463115082043
Alameda,persistence,5,15.448640056330749
Alameda,persistence,6,16.11522304208993
Alameda,persistence,7,17.29496228052711
Alameda,persistence,8,17.669301840592716
Alameda,persistence,9,18.338254193264227
Alameda,persistence,10,20.02335569714055
Alameda,persistence,11,18.854610083881852
Alameda,persistence,12,20.302337853595464
Alameda,global_residual_ridge_target_mean,1,11.139001860373527
Alameda,global_residual_ridge_target_mean,2,12.984860813845593
Alameda,global_residual_ridge_target_mean,3,13.024362879670049
Alameda,global_residual_ridge_target_mean,4,14.287045194538663
Alameda,global_residual_ridge_target_mean,5,15.598954786584935
Alameda,global_residual_ridge_target_mean,6,16.436466757548427
Alameda,global_residual_ridge_target_mean,7,17.545687281697894
Alameda,global_residual_ridge_target_mean,8,17.93958949096392
Alameda,global_residual_ridge_target_mean,9,18.597599268160366
Alameda,global_residual_ridge_target_mean,10,20.47774588870417
Alameda,global_residual_ridge_target_mean,11,19.544429827921256
Alameda,global_residual_ridge_target_mean,12,20.92341764377358
Alameda,ridge_residual_expert,1,11.103707934628162
Alameda,ridge_residual_expert,2,12.636480317115883
Alameda,ridge_residual_expert,3,13.679797386971295
Alameda,ridge_residual_expert,4,14.910120737430432
Alameda,ridge_residual_expert,5,16.13910154831797
Alameda,ridge_residual_expert,6,16.92192803225334
Alameda,ridge_residual_expert,7,18.202987020452184
Alameda,ridge_residual_expert,8,19.034808284378858
Alameda,ridge_residual_expert,9,19.625611866008782
Alameda,ridge_residual_expert,10,21.231716390324113
Alameda,ridge_residual_expert,11,21.51572122846508
Alameda,ridge_residual_expert,12,22.537360425176995
Alameda,impact_score_gated_ridge_q75,1,10.628277289984752
Alameda,impact_score_gated_ridge_q75,2,12.159159443665496
Alameda,impact_score_gated_ridge_q75,3,12.822412681698204
Alameda,impact_score_gated_ridge_q75,4,13.662849796975248
Alameda,impact_score_gated_ridge_q75,5,14.8838632116279
Alameda,impact_score_gated_ridge_q75,6,15.284201243422078
Alameda,impact_score_gated_ridge_q75,7,16.457177671682864
Alameda,impact_score_gated_ridge_q75,8,17.14242169531065
Alameda,impact_score_gated_ridge_q75,9,17.563185239522426
Alameda,impact_score_gated_ridge_q75,10,19.00451790497601
Alameda,impact_score_gated_ridge_q75,11,18.739623947916687
Alameda,impact_score_gated_ridge_q75,12,19.995032522346378
Alameda,high_impact_train_gated_ridge_q75,1,10.49192390354179
Alameda,high_impact_train_gated_ridge_q75,2,12.09429716103507
Alameda,high_impact_train_gated_ridge_q75,3,12.995149943590398
Alameda,high_impact_train_gated_ridge_q75,4,13.868870198600112
Alameda,high_impact_train_gated_ridge_q75,5,15.11136835141689
Alameda,high_impact_train_gated_ridge_q75,6,15.60276524549642
Alameda,high_impact_train_gated_ridge_q75,7,17.192478677137384
Alameda,high_impact_train_gated_ridge_q75,8,17.359703729199147
Alameda,high_impact_train_gated_ridge_q75,9,17.918370910862603
Alameda,high_impact_train_gated_ridge_q75,10,19.43154451345459
Alameda,high_impact_train_gated_ridge_q75,11,19.527690168873274
Alameda,high_impact_train_gated_ridge_q75,12,20.91988959076709
Alameda,county_specific_ridge_residual_expert,1,11.448751794232503
Alameda,county_specific_ridge_residual_expert,2,13.237219796675928
Alameda,county_specific_ridge_residual_expert,3,13.860511575432056
Alameda,county_specific_ridge_residual_expert,4,15.122007665821917
Alameda,county_specific_ridge_residual_expert,5,16.40288277770576
Alameda,county_specific_ridge_residual_expert,6,17.003349086914174
Alameda,county_specific_ridge_residual_expert,7,18.250876636545808
Alameda,county_specific_ridge_residual_expert,8,18.921640758829128
Alameda,county_specific_ridge_residual_expert,9,19.618964288014435
Alameda,county_specific_ridge_residual_expert,10,21.29846016943177
Alameda,county_specific_ridge_residual_expert,11,21.70400194812989
Alameda,county_specific_ridge_residual_expert,12,22.87792631935148
ContraCosta,persistence,1,12.211391331398325
ContraCosta,persistence,2,14.53511143645195
ContraCosta,persistence,3,16.499927435835748
ContraCosta,persistence,4,18.179811917919004
ContraCosta,persistence,5,19.78298407776715
