group,group_definition,node_windows,node_window_ratio,valid_values,MAE,RMSE,bias,MAE@h1,RMSE@h1,bias@h1,valid@h1,MAE@h3,RMSE@h3,bias@h3,valid@h3,MAE@h6,RMSE@h6,bias@h6,valid@h6,MAE@h12,RMSE@h12,bias@h12,valid@h12,county,model,result_dir,STID_MAE,STID_RMSE,STID_bias,STID_MAE@h1,STID_MAE@h3,STID_MAE@h6,STID_MAE@h12,delta_vs_STID_MAE,delta_vs_STID_RMSE,delta_vs_STID_bias,delta_vs_STID_MAE@h1,delta_vs_STID_MAE@h3,delta_vs_STID_MAE@h6,delta_vs_STID_MAE@h12
future_onset,"history has no accident, future has accident",31254,0.0034068835311071334,304355,11.970786060858979,21.398200861637815,-0.28412744629539954,9.992888964324692,17.00734331989412,-0.20105044237632186,25352,11.086664692661705,19.248597208730157,-0.02255024553411952,25369,11.983799421569783,21.123442029902723,-0.20118751993340528,25379,13.35947566120208,24.258062679937176,-0.5146122802221799,25363,LosAngeles,STIDAccident,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,11.944425233665251,21.36307277889088,-0.716091122804062,9.972278340978553,11.041428303398094,11.942871200770153,13.33990681982189,0.026360827193727232,0.03512808274693313,0.4319636765086624,0.020610623346138723,0.04523638926361073,0.04092822079963021,0.019568841380189994
history_only,"history has accident, future has no accident",31217,0.0034028502972602353,303953,12.307234977657936,23.803780876379403,-0.5472749244712105,10.228487396330634,18.90128521423182,-0.3551650914193292,25319,11.392021478060354,22.239208828313462,-0.23120019741296355,25324,12.292156916650194,23.64222655592208,-0.6409722205692302,25334,13.720057224999646,26.35588612643027,-0.7596498029141129,25338,LosAngeles,STIDAccident,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,12.201169025181319,23.49407061794395,-0.7025998249485622,10.184217613235583,11.30282738528495,12.215338948117987,13.561667050057443,0.10606595247661765,0.30971025843545164,0.1553249004773517,0.04426978309505003,0.08919409277540424,0.07681796853220746,0.15839017494220364
ongoing,history has accident and future has accident,3572,0.0003893705757059794,33972,12.610973806862948,24.821073275287016,-1.1243052155281228,10.547689511586643,18.934053399198163,-0.762860784041404,2846,11.124126917727626,20.127087429895994,-0.5604771628549821,2833,12.783664506220184,27.690174365522285,-1.419511085442737,2825,14.58266476589877,31.01448227955103,-1.3365522415778415,2818,LosAngeles,STIDAccident,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,12.530462165526194,24.805434855464505,-1.227984718112548,10.462753219497262,11.01692988634362,12.700081877581841,14.58627129007181,0.08051164133675393,0.015638419822511906,0.10367950258442526,0.08493629208938103,0.10719703138400583,0.08358262863834298,-0.003606524173040526
post_last_slot,last history slot has accident,5628,0.0006134875700093092,54506,12.258225140141,23.72166421675503,-0.8690121639182982,10.41244079901316,18.332278248725622,-0.5546573843214991,4556,11.247440515542992,22.647568548599583,-0.6296992572047044,4537,12.209407975322272,25.052973226023784,-1.107964949556373,4539,13.9357417154123,28.686472193489262,-1.0491617487726257,4538,LosAngeles,STIDAccident,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,12.162037107251882,23.66364823137763,-1.01242319131621,10.358096818530424,11.167961712526754,12.102622828680031,13.890064162165649,0.0961880328891187,0.058015985377402046,0.1434110273979119,0.05434398048273614,0.07947880301623833,0.10678514664224004,0.04567755324665157
future_any,future window has accident,34826,0.003796254106813113,338327,12.035068377934845,21.766221688095385,-0.36849118013912485,10.048884518341492,17.21159301659866,-0.25775346283168943,28198,11.090427925397163,19.33864802885162,-0.07658710970742323,28202,12.063916319026252,21.87022345770679,-0.32321851782013616,28204,13.481790297255007,25.015929571628508,-0.5968034536546398,28181,LosAngeles,STIDAccident,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,12.003270324168168,21.73336568931792,-0.767491243166109,10.021781559370622,11.03896742608985,12.01871585480762,13.464538791884312,0.03179805376667666,0.032855998777463924,0.3990000630269841,0.027102958970870006,0.05146049930731422,0.045200464218631,0.01725150537069453
history_any,history window has accident,34789,0.0037922208729662147,337925,12.337770268024755,23.90800754654316,-0.6052844772457397,10.260742044474247,18.90459877826115,-0.3963616729904275,28165,11.365067379131792,22.03586034234077,-0.2643302270972128,28157,12.341466394522858,24.079059688659733,-0.7190776822106304,28159,13.806391427015306,26.85855642657335,-0.817389188935293,28156,LosAngeles,STIDAccident,BasicTS/checkpoints/STIDAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_accident/0810f65f1c81ea6c197470f18383ecc0/test_results,12.23427326468521,23.62919408163032,-0.7554173551428077,10.212362967785227,11.274061902957946,12.263969854619498,13.664214992509645,0.10349700333954459,0.2788134649128402,0.15013287789706797,0.048379076689020195,0.09100547617384613,0.07749653990335936,0.14217643450566086
all,all test node-windows,9173780,1.0,89889106,11.059496775949691,21.55485619937279,-0.9245307064882952,9.325196738895793,17.177096083068104,-0.530198530502883,7490607,10.241259814742255,19.5963560273201,-0.7192449138720489,7490645,11.076688975073191,21.58698852439228,-0.8650004470955789,7490730,12.304985049628545,24.17024202395677,-1.2080587236656017,7490951,LosAngeles,STIDGatedAccident,BasicTS/checkpoints/STIDGatedAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_gated_accident/2742d597068ff19e251df0b9964af382/test_results,11.049267955785432,21.48594535417715,-1.0644327934379363,9.318979452366143,10.230416681407275,11.067822653800096,12.299171235067483,0.010228820164259744,0.06891084519563861,0.13990208694964112,0.006217286529649257,0.010843133334979882,0.008866321273094613,0.005813814561062003
no_event,no accident in history or future window,9107737,0.9928008955959267,89246826,11.051937073930226,21.54647485510435,-0.9266703420179615,9.319620657239593,17.171261799497877,-0.531553975921908,7437090,10.234564158849684,19.5887232474605,-0.7213274110013705,7437119,11.069133392347542,21.57906373634417,-0.867095915751715,7437192,12.296271910452425,24.15932637985588,-1.2112753415867366,7437432,LosAngeles,STIDGatedAccident,BasicTS/checkpoints/STIDGatedAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_gated_accident/2742d597068ff19e251df0b9964af382/test_results,11.04172850359967,21.47784184758584,-1.0667907015442837,9.313368984878494,10.223698993017322,11.060307686523355,12.29045443709603,0.010208570330556554,0.06863300751851042,0.14012035952632218,0.0062516723610990255,0.010865165832361967,0.008825705824186514,0.005817473356396263
future_onset,"history has no accident, future has accident",31254,0.0034068835311071334,304355,11.928009591203889,21.357595287614952,-0.5357414103598536,9.970017789176827,16.98051525255806,-0.2751420793867367,25352,11.029333659935215,19.17746642126749,-0.36418014854771885,25369,11.93823441196885,21.0745093968592,-0.37648899528244584,25379,13.294652797387789,24.24692255620645,-0.7872654981372137,25363,LosAngeles,STIDGatedAccident,BasicTS/checkpoints/STIDGatedAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_gated_accident/2742d597068ff19e251df0b9964af382/test_results,11.944425233665251,21.36307277889088,-0.716091122804062,9.972278340978553,11.041428303398094,11.942871200770153,13.33990681982189,-0.016415642461362623,-0.005477491275929225,0.1803497124442084,-0.0022605518017257964,-0.012094643462878807,-0.004636788801303027,-0.045254022434100705
history_only,"history has accident, future has no accident",31217,0.0034028502972602353,303953,12.246124151814282,23.714044100885182,-0.6525928830286107,10.18889662004618,18.805470744307243,-0.35681737558297144,25319,11.329693739569747,22.051148443292814,-0.45114859275353913,25324,12.24680806900281,23.526753447717407,-0.6795790068416425,25334,13.631518647668676,26.32357182568299,-0.6818692421647798,25338,LosAngeles,STIDGatedAccident,BasicTS/checkpoints/STIDGatedAccident/TraffiDent_LosAngeles_2023Q1_100_12_12_gated_accident/2742d597068ff19e251df0b9964af382/test_results,12.201169025181319,23.49407061794395,-0.7025998249485622,10.184217613235583,11.30282738528495,12.215338948117987,13.561667050057443,0.04495512663296353,0.21997348294123142,0.050006941919951475,0.004679006810595965,0.02686635428479711,0.031469120884823454,0.06985159761123327
